Country, IQ
"China, Hong Kong Special Administrative Region",108
Singapore,108
South Korea,106
Japan,105
China,105
Taiwan,104
Italy,102
Iceland,101
Mongolia,101
Switzerland,101
Austria,100
Luxembourg,100
Netherlands,100
Norway,100
United Kingdom of Great Britain and Northern Ireland,100
Belgium,99
Canada,99
Estonia,99
Finland,99
Germany,99
Poland,99
Sweden,99
Andorra,98
Australia,98
Czechia,98
Denmark,98
France,98
Hungary,98
Latvia,98
Spain,98
United States of America,98
Belarus,97
Malta,97
Russian Federation,97
Ukraine,97
Republic of Moldova,96
Slovakia,96
Slovenia,96
Uruguay,96
Israel,95
Portugal,95
Armenia,94
Georgia,94
Kazakhstan,94
Romania,94
Viet Nam,94
Argentina,93
Bulgaria,93
Greece,92
Ireland,92
Malaysia,92
Brunei Darussalam,91
Cambodia,91
Cyprus,91
The former Yugoslav Republic of Macedonia,91
Lithuania,91
Sierra Leone,91
Thailand,91
Albania,90
Bosnia and Herzegovina,90
Chile,90
Croatia,90
Kyrgyzstan,90
Turkey,90
Costa Rica,89
Lao People's Democratic Republic,89
Mauritius,89
Montenegro,89
Suriname,89
Ecuador,88
Mexico,88
Samoa,88
Azerbaijan,87
Bolivia (Plurinational State of),87
Nauru,87
Guyana,87
Indonesia,87
Iraq,87
Myanmar,87
Tajikistan,87
Turkmenistan,87
Uzbekistan,87
Kuwait,86
Philippines,86
Seychelles,86
Tonga,86
Cuba,85
Eritrea,85
Fiji,85
Kiribati,85
Peru,85
Trinidad and Tobago,85
Yemen,85
Afghanistan,84
Bahamas,84
Belize,84
Colombia,84
Iran (Islamic Republic of),84
Jordan,84
Marshall Islands,84
Micronesia (Federated States of),84
Morocco,84
Nigeria,84
Pakistan,84
Panama,84
Paraguay,84
Saudi Arabia,84
Solomon Islands,84
Uganda,84
United Arab Emirates,84
Vanuatu,84
Venezuela (Bolivarian Republic of),84
Algeria,83
Bahrain,83
Libya,83
Oman,83
Papua New Guinea,83
Syria,83
Tunisia,83
Bangladesh,82
Dominican Republic,82
India,82
Lebanon,82
Madagascar,82
Zimbabwe,82
Egypt,81
Honduras,81
Maldives,81
Nicaragua,81
Barbados,80
Bhutan,80
El Salvador,80
Kenya,80
Guatemala,79
Sri Lanka,79
Zambia,79
Democratic Republic of the Congo,78
Nepal,78
Qatar,78
Comoros,77
South Africa,77
Cape Verde,76
Congo,76
Mauritania,76
Senegal,76
Mali,74
Namibia,74
Ghana,73
Tanzania,72
Central African Republic,71
Jamaica,71
Saint Vincent and the Grenadines,71
Sudan,71
Antigua and Barbuda,70
Benin,70
Botswana,70
Rwanda,70
Togo,70
Burundi,69
Côte d'Ivoire,69
Ethiopia,69
Malawi,69
Niger,69
Angola,68
Burkina Faso,68
Chad,68
Djibouti,68
Somalia,68
Swaziland,68
Dominica,67
Guinea,67
Guinea-Bissau,67
Haiti,67
Lesotho,67
Liberia,67
Saint Kitts and Nevis,67
São Tomé and Príncipe,67
Gambia,66
Cameroon,64
Gabon,64
Mozambique,64
Saint Lucia,62
Equatorial Guinea,59
South Sudan,71
Qatar,84
