Country,Nrrent
Afghanistan,0.7
Albania,1.8
Algeria,28
American Samoa,0
Andorra,0
Angola,32
Antigua and Barbuda,0
Argentina,1.2
Armenia,3.5
Aruba,0
Australia,4.8
Austria,0.1
Azerbaijan,36.1
Bahamas,0
Bahrain,24.5
Bangladesh,1
Barbados,0.1
Belarus,1
Belgium,0
Belize,0.8
Benin,6.7
Bermuda,0
Bhutan,5.5
Bolivia (Plurinational State of),7.9
Bosnia and Herzegovina,1
Botswana,2.7
Brazil,2.9
Brunei Darussalam,8.5
Bulgaria,1.9
Burkina Faso,21
Burundi,17.2
Cambodia,2
Cameroon,6.2
Canada,0.9
Cabo Verde,1
Cayman Islands,0
Central African Republic,15.4
Chad,13.1
Channel Islands,0
Chile,16
China,1.3
China. Hong Kong Special Administrative Region,0
China. Macao Special Administrative Region,0
Colombia,3.6
Comoros,4.6
Democratic Republic of the Congo,38
Congo,48.19
Costa Rica,1.3
Cote d'Ivoire,5.5
Croatia,0.7
Cuba,0.8
Curacao,0
Cyprus,0.1
Czechia,0.1
Denmark,0.5
Djibouti,0.9
Dominica,0.1
Dominican Republic,2
Ecuador,17.2
Egypt,3.9
El Salvador,0.9
Equatorial Guinea,43
Eritrea,19.2
Estonia,0.9
Ethiopia,14.3
Faroe Islands,0
Fiji,1.5
Finland,0.6
France,0
French Polynesia,0
Gabon,43.9
Gambia,7.7
Georgia,1
Germany,0.1
Ghana,18.5
Greece,0.1
Greenland,0
Grenada,0
Guam,0
Guatemala,2.3
Guinea,24.5
Guinea-Bissau,18.6
Guyana,18.5
Haiti,1.2
Honduras,2.5
Hungary,0.3
Iceland,0
India,1.9
Indonesia,2.3
Iran (Islamic Republic of),29.76
Iraq,41.46
Ireland,0
Isle of Man,0
Israel,0.2
Italy,0.1
Jamaica,1.4
Japan,0
Jordan,1.2
Kazakhstan,30
Kenya,3.3
Kiribati,0.1
Republic of Korea,0
Kosovo,1
Kuwait,54.52
Kyrgyzstan,7.7
Lao People's Democratic Republic,11.6
Latvia,1
Lebanon,0
Lesotho,6.9
Liberia,28
Libya,49.5
Liechtenstein,0
Lithuania,0.4
Luxembourg,0.1
The former Yugoslav Republic of Macedonia,2
Madagascar,12.8
Malawi,9.6
Malaysia,4.8
Maldives,0
Mali,12.5
Malta,0
Marshall Islands,0
Mauritania,44.2
Mauritius,0
Mexico,2.3
Micronesia (Federated States of),0
Republic of Moldova,0.4
Monaco,0
Mongolia,23.5
Montenegro,0.7
Morocco,2.6
Mozambique,13.1
Myanmar,4.8
Namibia,2.3
Nepal,1.5
Netherlands,0.5
New Caledonia,0
New Zealand,0.9
Nicaragua,4.1
Niger,18.5
Nigeria,4.7
Northern Mariana Islands,0
Norway,5.4
Oman,38
Pakistan,1.2
Palau,0
Panama,0.2
Papua New Guinea,54.2
Paraguay,2.2
Peru,6.3
Philippines,1.6
Poland,0.9
Portugal,0.3
Puerto Rico,0
Qatar,55
Romania,1
Russian Federation,10.3
Rwanda,6.7
Samoa,0.5
San Marino,0
Sao Tome and Principe,3.1
Saudi Arabia,50
Senegal,5.8
Serbia,1.2
Seychelles,0.1
Sierra Leone,23.5
Singapore,0
Sint Maarten (Dutch part),0
Slovakia,0.3
Slovenia,0.3
Solomon Islands,35
Somalia,17.8
South Africa,4.2
South Sudan,15.8
Spain,0.1
Sri Lanka,0.2
St. Kitts and Nevis,0
St. Lucia,0
St. Martin (French part),0
St. Vincent and the Grenadines,0
Sudan,4.2
Suriname,17.7
Swaziland,2.9
Sweden,0.4
Switzerland,0
Syrian Arab Republic,0
Tajikistan,2
United Republic of Tanzania,6.9
Thailand,1.2
Timor-Leste,0.3
Togo,24.7
Tonga,0
Trinidad and Tobago,7.5
Tunisia,3
Turkey,0.4
Turkmenistan,19
Turks and Caicos Islands,0
Tuvalu,0
Uganda,13.5
Ukraine,3.9
United Arab Emirates,24.6
United Kingdom of Great Britain and Northern Ireland,0.3
United States of America,0.3
Uruguay,1.6
Uzbekistan,21
Vanuatu,0.9
Venezuela (Bolivarian Republic of),25
Viet Nam,2.6
Virgin Islands (U.S.),0
Palestine,0
Yemen,2.3
Zambia,14.4
Zimbabwe,8.7
